STEM ATTACHMENT ANALYSIS

candidates=297
accepted=188
unmatched=109
cross-staff=0
ambiguous-direction=0
noteheads-attached=301/301

ACCEPTED STEMS
shape-581: attached-stem; m5; from=(2518.64,697.92) to=(2518.64,766.15); length=2.83sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-830/s1]; confidence=77.0 %; vertical stroke touches 1 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-644: attached-stem; m5; from=(2518.64,871.10) to=(2518.64,999.57); length=5.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-926/s2,shape-924/s2]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-486: attached-stem; m5; from=(2547.32,597.49) to=(2547.32,653.87); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-792/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-570: attached-stem; m5; from=(2669.46,567.56) to=(2669.46,641.82); length=3.08sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-703/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-569: attached-stem; m5; from=(2760.95,579.33) to=(2760.95,641.82); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-744/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-568: attached-stem; m5; from=(2852.44,573.48) to=(2852.44,629.78); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-763/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-587: attached-stem; m6; from=(442.33,1298.70) to=(442.33,1397.05); length=4.08sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-836/s1,shape-826/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-646: attached-stem; m6; from=(442.33,1517.76) to=(442.33,1670.33); length=6.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-923/s2,shape-922/s2]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-545: attached-stem; m6; from=(471.00,1198.27) to=(471.00,1254.65); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-785/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-518: attached-stem; m6; from=(592.54,1192.44) to=(592.54,1266.70); length=3.08sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-776/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-499: attached-stem; m6; from=(683.58,1210.40) to=(683.58,1266.70); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-777/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-494: attached-stem; m6; from=(774.62,1216.26) to=(774.62,1278.75); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-802/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-667: attached-stem; m7; from=(879.49,1638.23) to=(879.49,1694.42); length=2.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-977/s2]; confidence=76.9 %; vertical stroke touches 1 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-495: attached-stem; m7; from=(908.16,1234.41) to=(908.16,1290.80); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-773/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-590: attached-stem; m7; from=(970.53,1334.84) to=(970.53,1433.10); length=4.08sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-827/s1,shape-829/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-647: attached-stem; m7; from=(999.20,1447.65) to=(999.20,1521.91); length=3.08sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-916/s2]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-600: attached-stem; m7; from=(1061.57,1334.84) to=(1061.57,1415.04); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-819/s1,shape-811/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-648: attached-stem; m7; from=(1090.24,1453.31) to=(1090.24,1521.91); length=2.85sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-915/s2]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-595: attached-stem; m7; from=(1152.61,1322.79) to=(1152.61,1409.18); length=3.59sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-838/s1,shape-824/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-649: attached-stem; m7; from=(1181.28,1441.60) to=(1181.28,1521.91); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-910/s2,shape-911/s2,shape-913/s2]; confidence=84.1 %; vertical stroke touches 3 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
