BEAM ATTACHMENT ANALYSIS

candidates=55
accepted=52
rejected=3
hooks=1
cross-staff=0
level-1=45
level-2=6
level-3=1
level-4+=0

ACCEPTED BEAMS
shape-1085: attached-beam-hook; m12; level=2; from=(1128.25,2033.94) to=(1151.61,2033.94); length=1.10sp; width=0.500sp; slope=0.000; left=False; right=True; hook=True; cross-staff=False; stems=[shape-474@0.75sp]; confidence=84.7 %; beam-like stroke intersects 1 stem(s); left-supported=False; right-supported=True; width=0.500sp; slope=0.000; level=2 from per-stem rank(s) [2]; one beam end is intentionally free (beam hook)
shape-1071: attached-primary-beam; m12; level=1; from=(1198.98,1995.84) to=(1380.94,2008.32); length=8.59sp; width=0.585sp; slope=0.069; left=True; right=True; hook=False; cross-staff=False; stems=[shape-477@0.00sp,shape-483@0.00sp,shape-484@0.02sp,shape-485@0.04sp]; confidence=88.1 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.585sp; slope=0.069; level=1 from per-stem rank(s) [1,1,1,1]; first-level beam has both ends supported by stems
shape-1072: attached-secondary-beam; m12; level=2; from=(1198.98,2011.77) to=(1380.94,2024.25); length=8.59sp; width=0.585sp; slope=0.069; left=True; right=True; hook=False; cross-staff=False; stems=[shape-477@0.71sp,shape-483@0.74sp,shape-484@0.77sp,shape-485@0.79sp]; confidence=88.1 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.585sp; slope=0.069; level=2 from per-stem rank(s) [2,2,2,2]; both beam ends terminate at stems
shape-1095: attached-primary-beam; m13; level=1; from=(1684.79,2022.48) to=(1762.18,2018.85); length=3.65sp; width=0.581sp; slope=-0.047; left=True; right=True; hook=False; cross-staff=False; stems=[shape-480@0.00sp,shape-547@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.047; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1066: attached-primary-beam; m14; level=1; from=(2145.35,2027.64) to=(2222.98,2034.93); length=3.67sp; width=0.588sp; slope=0.094; left=True; right=True; hook=False; cross-staff=False; stems=[shape-518@0.00sp,shape-479@0.04sp]; confidence=87.1 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.588sp; slope=0.094; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1115: attached-primary-beam; m15; level=1; from=(2337.41,2282.78) to=(2415.65,2273.62); length=3.71sp; width=0.577sp; slope=-0.117; left=True; right=True; hook=False; cross-staff=False; stems=[shape-598@0.00sp,shape-599@0.04sp]; confidence=87.5 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.577sp; slope=-0.117; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1117: attached-primary-beam; m15; level=1; from=(2461.73,2388.87) to=(2539.12,2385.24); length=3.65sp; width=0.581sp; slope=-0.047; left=True; right=True; hook=False; cross-staff=False; stems=[shape-602@0.04sp,shape-604@0.00sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.047; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1065: attached-primary-beam; m15; level=1; from=(2636.17,2059.76) to=(2714.41,2050.60); length=3.71sp; width=0.577sp; slope=-0.117; left=True; right=True; hook=False; cross-staff=False; stems=[shape-545@0.00sp,shape-508@0.04sp]; confidence=87.5 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.577sp; slope=-0.117; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1105: attached-primary-beam; m16; level=1; from=(479.59,3017.08) to=(555.64,3007.89); length=3.61sp; width=0.577sp; slope=-0.121; left=True; right=True; hook=False; cross-staff=False; stems=[shape-608@0.00sp,shape-611@0.04sp]; confidence=87.4 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.577sp; slope=-0.121; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1116: attached-primary-beam; m16; level=1; from=(599.45,3080.67) to=(674.62,3077.04); length=3.54sp; width=0.580sp; slope=-0.048; left=True; right=True; hook=False; cross-staff=False; stems=[shape-614@0.04sp,shape-618@0.00sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.580sp; slope=-0.048; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
