shape-65     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-66     Stroke        g1 staff-7+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-67     Stroke        g1 staff-9+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-68     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-69     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-70     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-71     Stroke        g1 staff-3+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-72     Stroke        g1 staff-7+staff-pair-4-measure-4 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-73     Stroke        g1 staff-5+staff-pair-3-measure-4 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-74     Stroke        g1 staff-5+staff-pair-3-measure-2 -> staff-6+staff-pair-3-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-75     Stroke        g1 staff-7+staff-pair-4-measure-5 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-76     Stroke        g1 staff-9+staff-pair-5-measure-4 -> staff-10+staff-pair-5-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-77     Stroke        g1 staff-9+staff-pair-5-measure-2 -> staff-10+staff-pair-5-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-78     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-79     Stroke        g1 staff-5+staff-pair-3-measure-5 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-80     Stroke        g1 staff-9+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-81     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-82     EllipseLike   g1 staff-9+staff-pair-5-measure-6 -> staff-9+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-83     EllipseLike   g1 staff-9+staff-pair-5-measure-6 -> staff-9+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-84     Stroke        g1 staff-9+staff-pair-5-measure-6 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-86     Stroke        g1 staff-3+staff-pair-2-measure-5 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-87     Stroke        g1 staff-9+staff-pair-5-measure-3 -> staff-10+staff-pair-5-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-88     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-89     Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-4+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-90     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-91     Stroke        g1 staff-9+staff-pair-5-measure-5 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-92     Stroke        g1 staff-8+staff-pair-4-measure-4 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-93     Stroke        g1 staff-6+staff-pair-3-measure-4 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-94     Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-95     Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-96     Stroke        g1 staff-8+staff-pair-4-measure-2 -> staff-8+staff-pair-4-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-97     EllipseLike   g1 staff-10+staff-pair-5-measure-6 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
